"from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"153080620724","Donald J. Trump","Wow, despite the switch to Monday night, The Apprentice ratings were higher than even the Sunday night show. #CelebApprentice","2015-01-06T17:13:26+0000","photo","https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10155044136065725/?type=3","153080620724_10155044136160725",9764,967,265
"153080620724","Donald J. Trump","Watch this video to learn more about Trump International Realty's Michelle Griffith and some of our spectacular real estate in New York City.","2015-01-06T20:55:00+0000","video","http://youtu.be/nIzMBlmiXUY","153080620724_10155045973390725",904,95,71
"153080620724","Donald J. Trump","My condolences and prayers to the victims of the terrorist attack in Paris.","2015-01-07T21:59:08+0000","status",NA,"153080620724_10155057236900725",16531,476,282
"153080620724","Donald J. Trump","If the people so violently shot down in Paris had guns, at least they would have had a fighting chance.","2015-01-07T22:39:05+0000","status",NA,"153080620724_10155057540060725",33706,2766,2866
"153080620724","Donald J. Trump","#TBT With Tommy Lee Jones at Mar-a-Lago.","2015-01-08T17:46:46+0000","photo","https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10155065973995725/?type=3","153080620724_10155065974095725",5663,202,79
"153080620724","Donald J. Trump","Watch my appearance on the Late Show with David Letterman from last night-","2015-01-09T15:47:34+0000","link","http://www.cbs.com/shows/late_show/video/51FDE7B7-9F1C-1FAA-0C00-CB93F4A07940/donald-trump-s-celebrity-apprentice-firings/","153080620724_10155069407815725",2959,246,140
"153080620724","Donald J. Trump",NA,"2015-01-12T01:16:37+0000","photo","https://www.facebook.com/theapprentice/photos/a.458717844009.254299.11100009009/10152697615319010/?type=3","153080620724_10155079314695725",1954,213,0
"153080620724","Donald J. Trump",NA,"2015-01-12T03:20:25+0000","photo","https://www.facebook.com/TrumpGolf/photos/a.888950647786984.1073741828.804759026206147/1018880714793976/?type=3","153080620724_10155079655620725",2938,146,1
"153080620724","Donald J. Trump","My Morning Joe interview from Trump National Doral Miami on why Romney shouldn't be GOP nominee-","2015-01-12T16:52:13+0000","video","http://www.msnbc.com/morning-joe/watch/trump--dont-give-romney-another-chance-383145539690","153080620724_10155081736380725",1494,426,80
"153080620724","Donald J. Trump","Lights... Camera....You're Fired! All new The Apprentice tonight at 8PM ET on NBC!","2015-01-12T17:54:49+0000","photo","https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10155081942330725/?type=3","153080620724_10155081942415725",16091,712,322
