"from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"250829409716","NYU Abu Dhabi","Life and Art — Florentine Style — Guest Post: Valentina Vela, NYUAD Class of 2015: Before leaving for January Term at NYU Florence, I feared that language would be a barrier between the people of Florence and me. As it turns out, the locals I had a chance to interact with were always patient, warm, and very, very funny…","2013-02-14T06:53:35+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/life_and_art_flore.html","250829409716_472809256101472",2,0,0
"250829409716","NYU Abu Dhabi","Projecting Global Sea-level Change: Along the low-lying beachfront of the city of Abu Dhabi stands a skyline punctuated with high-rise towers, beach clubs, restaurants, and cafes. As with many of the world's leading cities, much of Abu Dhabi's development sits at just above sea level…","2013-02-14T13:26:30+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/projecting_globalse.html","250829409716_206583612815670",4,0,0
"250829409716","NYU Abu Dhabi","NYUAD Chinese Cultural Club Hosts Lunar New Year Celebration: For me, having spent past Lunar New Years with relatives in Shanghai, the holiday has been one of indulgence. It's a time for fat tangerines bursting with juice, chocolate coin showers, and generous relatives flapping red hongbaos in their hands…","2013-02-17T14:19:33+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/nyuad_chinese_cultur.html","250829409716_274412992690164",3,3,0
"250829409716","NYU Abu Dhabi","Looking to the Past in Berlin — Guest Post: Emlyn Van Eps, NYUAD Class of 2016: Of all the months to visit Berlin, January is not a popular one. Temperatures fall well below freezing and the strong wind blows dry, powdery snow off of curbs and into your face…","2013-02-18T12:06:51+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/looking_to_the_past.html","250829409716_297150493745285",1,1,0
"250829409716","NYU Abu Dhabi","NYUAD and University of Southampton Scientists Make Surprising Discovery: A team of scientists from NYU Abu Dhabi and the University of Southampton in the UK have discovered surprising results during a study to identify the molecular mechanisms behind Gulf corals' resistance to high water temperatures...","2013-02-20T09:11:35+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/nyuad_and_university.html","250829409716_560123844011488",11,0,0
"250829409716","NYU Abu Dhabi","NYUAD Community Reflects on Feminism: An unfinished sentence on a small whiteboard caught students' eyes as they searched for tables at NYUAD's dining halls and curious passersby stopped as Olivia Bergen, NYUAD sophomore and president of the University's Women's Leadership Network (WLN), waved a pen and invited them…","2013-02-20T12:32:48+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/nyuad_community_refl.html","250829409716_113519768831941",18,1,5
"250829409716","NYU Abu Dhabi","Discussing Coastal Urbanization and Environmental Change in Sydney — Guest Post: Carmen Germaine, NYUAD Class of 2014: This January, a group of 14 NYUAD students gathered in Sydney, Australia, for the University's Coastal Urbanization and Environmental Change J-Term course. An almost equal mix of juniors and sophomores…","2013-02-24T08:49:04+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/discussing_coastalu.html","250829409716_539727346047705",9,0,3
"250829409716","NYU Abu Dhabi","Global Think Tank Aims to Better Integrate Study-abroad Students at NYUAD: The small size of NYU Abu Dhabi's student population means, for most, a tight-knit community, intimate social circles, and the luxury of knowing almost everyone on campus. However, this perk can also have its drawbacks…","2013-02-25T08:33:19+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/global_think_tankai.html","250829409716_538875172819643",9,0,3
"250829409716","NYU Abu Dhabi","NYUAD Students Race Against the Clock in 24-hour Film Challenge: Despite the popularity of NYU Abu Dhabi's 24-hour Film Race, the screening for this year's event was a cozy affair. Piles of beanbags, soda pop, and cups of popcorn made for an intimate ambiance…","2013-02-26T11:12:43+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/nyuad_students_race.html","250829409716_146221645539957",6,0,0
"250829409716","NYU Abu Dhabi","NYUAD Hackathon Welcomes Programmers from Around the Globe: Fueled by determination and caffeine, more than 80 computer programmers recently faced their laptop screens with one hope: to make a difference in the Arab world. This year's International Hackathon for Social Good in the Arab World…","2013-02-27T10:12:41+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/nyuad_hackathon_welc.html","250829409716_423135707780631",10,1,0
"250829409716","NYU Abu Dhabi","Using Multi-level Genomic Approaches to Tackle Regional Issues: ""Among the most fundamental questions in the life sciences are those of how molecular systems are built from the interaction of molecular genetic elements,"" said NYU New York Silver Professor of Biology Claude Desplan…","2013-02-28T14:09:45+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/using_multi-levelge.html","250829409716_501610239901689",4,0,1
"250829409716","NYU Abu Dhabi","Engineers for Social Impact Launch Event Focuses on Social Responsibility: Esteemed speakers from organizations around the world gathered at NYUAD's Downtown Campus earlier this week to celebrate the launch of Engineers for Social Impact. The group, which will support and complement the mission and goals of the University's Engineering program…","2013-02-28T14:10:21+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/02/engineers_for_social.html","250829409716_129269343919221",4,1,0
"250829409716","NYU Abu Dhabi","NYUAD Team Wins Masdar Institute's Mind Rewind Competition — Guest Post: Sumit Dahal, NYUAD Class of 2015: With just seven seconds to answer each question, NYU Abu Dhabi students had to think fast at the Masdar Institute's recent ""Mind Rewind"" Competition…","2013-03-04T06:34:54+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/03/nyuad_team_wins_masd.html","250829409716_541890719189534",26,3,1
"250829409716","NYU Abu Dhabi","NYUAD Juniors Present Musical Rhythm Analysis at ICPRAM: For NYU Abu Dhabi junior Juan Felipe Beltran, presenting at the 2013 International Conference on Pattern Recognition Applications and Methods (ICPRAM) in Barcelona last month provided a glimpse into a possible post-NYUAD academic path…","2013-03-06T06:33:48+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/03/nyuad_juniors_presen.html","250829409716_302560866539780",17,0,0
"250829409716","NYU Abu Dhabi","Driving Economic Development Through Technology: When NYU Abu Dhabi Professor of Economics Yaw Nyarko met Lakshminarayanan Subramanian, assistant professor at NYU New York's Courant Institute of Mathematical Sciences, they quickly realized they were working on different sides of the same puzzle...","2013-03-12T17:39:24+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/03/developing_economic.html","250829409716_431071296971297",10,1,0
"250829409716","NYU Abu Dhabi","UAE-based Artists Exhibit Works on NYUAD Campus: NYU Abu Dhabi's Downtown Campus has once again been transformed into an art gallery. Currently, the University is hosting two solo exhibitions by UAE-based artists Mohammed Kazem and Jessica Mein…","2013-03-12T17:40:56+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/03/uae-based_artistsex.html","250829409716_227135410766120",15,2,2
"250829409716","NYU Abu Dhabi","First Public Beach Opens on Saadiyat Island: When NYUAD's permanent campus opens in 2014, students, faculty, and staff will be just minutes from Saadiyat Island's first public beach, which has opened just in time for beachgoers to take advantage of Abu Dhabi's comfortable spring temperatures...","2013-03-13T10:50:07+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/03/first_public_beacho.html","250829409716_434666573281422",26,1,2
"250829409716","NYU Abu Dhabi","Understanding the Behavioral Forces at Work in Shaping the Macroeconomy: As a specialist in macroeconomics and econometrics — the application of mathematics and statistical methods to economic data — NYU Abu Dhabi Assistant Professor of Economics Chetan Dave enjoys the precision of his discipline…","2013-03-20T10:20:57+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/03/understanding_thebe.html","250829409716_478011255586198",2,1,1
"250829409716","NYU Abu Dhabi","ADISL Holds First Invitational Sports Festival: The first Abu Dhabi Inter-university Sports League (ADISL) Invitational Sports Festival was held earlier this month. Welcoming the men's and women's soccer and basketball teams from the American University of Kuwait (AUK) to the UAE, athletes from three ADISL schools…","2013-03-20T10:23:34+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/03/adisl_holds_firstin.html","250829409716_520999497944012",8,0,0
"250829409716","NYU Abu Dhabi","Teaching English at the Somali Social and Cultural Centre: For NYU Abu Dhabi freshman Juliana Bello, volunteering at the Somali Social and Cultural Centre is a natural extension of the work she did in her home state of New Jersey before leaving for university. Having tutored children at HomeFront…","2013-03-24T07:07:20+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/03/teaching_englishat.html","250829409716_228015524004295",14,3,4
"250829409716","NYU Abu Dhabi","Student Performers Gather for Global Shakespeare Festival: Recently, NYU Abu Dhabi welcomed student performers from NYU New York, the American University of Sharjah, Bryn Mawr, Cairo University, Haverford, and Swarthmore for the Global Shakespeare Student Festival...","2013-03-31T09:16:14+0000","link","http://nyuad.nyu.edu/news-events/salaam/2013/03/student_performersg.html","250829409716_515814908457139",8,1,3
